Date,Author,Target,Description,Attack,Target Category,Country,Taxonomy,Attack Class
3/17/2015,,Unknown,"Advantage Dental notifies more than 150,000 patients that a computer was infected with malware, and an intruder gained access to a database containing their personal information. ",Targeted Attack,Healthcare,US,17.07 Next-Generation Firewalls,Business Disruption
3/18/2015,Unknown,Multi,"Alex Van Handle AKA @ThaSinister hacks fenderforum.com and dumps 76,682 records.",Targeted Attack,Power Generation,Multi,24.06 Threat Intelligence,Customized To Target
3/18/2015,Unknown,Unknown,"Trend Micro unveils the details of Operation Woolen-Goldfish, a malicious campaign carried on by a threat actor called Rocket Kitten, and targeting entities showing a particular interest for the Islamic Republic of Iran. They include: civilian organizations in Israel, academic organizations in Israel, German-speaking government organizations, European organizations, European private companies.",Malware,Healthcare,UK,14.03 Intrusion Detection System (IDS),Criminals
3/18/2015,,Unknown,The British Judo Association (britishjudo.org.uk) temporarily shuts down its online membership application system after an illegal intrusion stole some members' details.,SQLi,Online Forum,AU,17.07 Next-Generation Firewalls,Business Disruption
3/19/2015,Unknown,Unknown,"Chrichir hacks the FIT college (fitcollege.edu.au) and claims to have accessed 5,000+ student records, and more than 6,000 payment records.",Targeted Attack,Multi,US,5.13 Data Access Control,Data Theft
3/20/2015,Unknown,Unknown,Credit card data is compromised for about 19 people at the Tom Bradley International Terminal in the Los Angeles International Airport.,Unknown,Org: Sport,Multi,17.03 Distributed Denial of Service (DDOS) Security,Vulnerability to Unknown Threats
3/20/2015,Unknown,Unknown,"Chinese activist site Greatfire.org, which masks censored traffic into the country, suffers a DDoS attack that racks up $30,000 a day in server costs.",SQLi,Education,US,13.05 Identity Services,Data Theft
3/20/2015,Federalist,Unknown,"St. Mary's Health (stmarys.org) announces that several employees had their usernames and passwords compromised. Unfortunately their email accounts contained personal information on roughly 4,400 individuals. ",PoS Malware,Airport,US,17.07 Next-Generation Firewalls,Business Disruption
3/21/2015,Team System DZ ,Unknown,"Federalist hacks the New Jersey State Federation of Women's Clubs of GFWC (njsfwc.org) and dumps 1,036 records.",DDoS,Human Rights,US,25.06 Website Scanning,Customized To Target
3/21/2015,,Unknown,"A group of pro-ISIS hackers from Morocco, going with the handle of Team System DZ defaces several high-profile websites of Wisconsin’s Richland County, including the country’s Sheriffs department website. ",Account Hijacking,Healthcare,US,5.06 Database Security,Data Theft
3/21/2015,,Unknown,"Ouch hacks csgameservs.com and dumps its entire db on pastebin (7,661 records). To remove the db the hacker asks for a ransom of $20 worth bitcoins.",SQLi,Org: Volunteers,FR,11.03 eCommerce Fraud Protection,Mass Malware
3/22/2015,,Unknown,"This time Ouch hacks artazart.com and dumps its entire db on pastebin (6,795 records). Once again, to remove the db the hacker asks for a ransom of $20 worth bitcoins.",Defacement,Government,US,25.0 Web Security,Mass Malware
3/22/2015,bluebunny14 ,Unknown,"The NYPD’s Captain Endowment Association’s website (NYPDCEA.org) is injected with malware. The Anonymous claim responsibility for the attack, even if the attribution is uncertain.",SQLi,Online Services,US,20.02 Security Awareness and Training,Mass Malware
3/23/2015,Unknown,Unknown,A malicious user going by the handle of bluebunny14 exploits the open submission structure of Steam's Greenlight section to briefly hide malware links in cloned versions of five legitimate game pages.,SQLi,E-Commerce,US,13.03 Consumer Identity and Access Management (CIAM),Data Theft
3/23/2015,,Unknown,"Twitch, the Amazon-owned game video streaming service, resets passwords for all its users after warning of a security breach that may have allowed hackers to access user names, passwords, and other personal information.",Malware,Law Enforcement,US,17.03 Distributed Denial of Service (DDOS) Security,Vulnerability Exploitation
3/23/2015,,Unknown,A group calling itself @YourVikingdom2015 takes down the Official Maine website maine.gov.,Malware,Online Services,US,17.03 Distributed Denial of Service (DDOS) Security,Vulnerability Exploitation
3/23/2015,Leon HDz,Unknown,YourVikingdom2015 also takes down the official New Hampshire website visitnh.gov.,Unknown,Video Games Streaming,PH,25.06 Website Scanning,Customized To Target
3/24/2015,A4,Unknown,A pro-Palestine hacker called Leon HDz defaces the Philippine National Police website (pspg.pnp.gov.ph).,DDoS,Government,DE,5.05 Data Leakage Protection (DLP),Data Theft
3/24/2015,Unknown,Unknown,"Kreditech, a consumer finance startup, investigates a data breach that came to light after a group of hackers called themselves A4 posted thousands of applicants’ personal and financial records online.",DDoS,Government,US,24.05 Third-Party Security,Mass Malware
3/25/2015,,Unknown,Oregon officials say that they plan to restructure information technology functions after discovering that an external third-party had gained access to the network of Department of Administrative Services.,Defacement,Government,RU,25.03 Secure Web Gateway (SWG),Customized To Target
3/25/2015,Unknown,Unknown,The hacking division associated with ISIS (Islamic State of Iraq and Syria) extremist rebels Cyber Caliphate deface 600 Russian sites.,Unknown,Financial Services,US,14.04 Intrusion Prevention System (IPS),Mass Malware
3/25/2015,Unknown,Unknown,"Another adult site used to distribute malware. This time the victim is Xtube, whose main page is compromised to redirect the user to a site hosting the Neutrino Exploit Kit.",Malware,Government,UK,11.01 Account Take-Over (ATO),Customized To Target
3/26/2015,,Unknown,The Oriel High School's Twitter account is hacked and posts offensive images about the alleged “new career” of a professor as a porn actor.,Defacement,Multi,US,17.03 Distributed Denial of Service (DDOS) Security,Customized To Target
3/26/2015,Unknown,Unknown,"GitHub, the largest public code repository in the world, battles against the largest DDoS attack in the site's history. The attack targets pages hosting anti surveillance tools. Suspects are directed to China.",Malicious JS,Adult Site,US,25.03 Secure Web Gateway (SWG),Data Theft
3/26/2015,Unknown,Unknown,"Cryptoine, a cryptocurrency exchange site, is hacked and has its wallets emptied.",Account Hijacking,Education,FI,17.03 Distributed Denial of Service (DDOS) Security,Customized To Target
3/26/2015,Fahim Magsi,Unknown,The official website of the Finnish Police (poliisi.fi) is taken down by a DDoS attack.,DDoS,Software,US,25.04 Web Application Firewall (WAF),Business Disruption
3/27/2015,Unknown,Unknown,"A hacker called Fahim Magsi hacks ialert.com and dumps 12,253 usernames and clear text passwords.",Unknown,Cryptocurrency Exchange,UK,25.03 Secure Web Gateway (SWG),Business Disruption
3/27/2015,Unknown,Unknown,"Slack announces on its corporate blog that it was hacked over the course of four days in February, and that some number of users’ data was compromised. The breach releases email addresses and potentially phone numbers of its 500,000 users.",DDoS,Law Enforcement,US,11.03 eCommerce Fraud Protection,Data Theft
3/27/2015,Unknown,Unknown,"Nite Ize notifies customers that its online store experienced a cyber attack, which resulted in credit card transactions being compromised and unauthorized access possibly being gained to a general customer database.",SQLi,Online Services,UK,13.01 Authorization,Business Disruption
3/27/2015,Unknown,Unknown,"Some of the systems administered by Multiplay, a company hosting gaming events, are accessed by an unauthorized entity, which may have resulted in exposing users’ account details.",Unknown,Software,US,22.02 Breach and Attack Simulation (BAS),Mass Malware
3/28/2015,,Unknown,The Direct Marketing Association suffers a data breach caused by a malware installed in the online bookstore section of their website.,Unknown,E-Commerce,US,17.03 Distributed Denial of Service (DDOS) Security,Customized To Target
3/28/2015,,Unknown,"After Indiana’s Governor Mike Peace signed the controversial religious freedom bill law, @YourVikingdom2015 takes down the Official Indiana website in.gov.",Unknown,Video Games Promoting,NG,17.07 Next-Generation Firewalls,Customized To Target
3/28/2015,,Unknown,The Website of the Nigerian Electoral Commission (inecnigeria.org) is defaced by the Nigerian Cyber Army just in the morning of the general election day.,Malware,Marketing,TR,25.04 Web Application Firewall (WAF),Business Disruption
3/28/2015,,Unknown,"Ebu Duhan hacks pvpserverin.com and dumps 2,614 usernames and passwords.",DDoS,Government,US,25.04 Web Application Firewall (WAF),Business Disruption
3/29/2015,Unknown,Unknown,"R3dm0v3 hacks virgilfilmsent.com and dumps 3,482 usernames and passwords.",Defacement,Government,UK,13.03 Consumer Identity and Access Management (CIAM),Data Theft
3/29/2015,Unknown,Unknown,"Unknown hackers access tens of thousands of British Airways frequent-flyer accounts. The airline states that only a small proportion of its millions of customers are affected, and no names, addresses, bank details or other personal information has been accessed.",SQLi,Internet Services,AU,20.02 Security Awareness and Training,Mass Malware
3/29/2015,,Unknown,The screen sharing platform Puush is hit by a cyber attack that injected malware into a server. Users are prompted to uninstall the app and change important passwords that were stored on PCs as well as those saved in major browsers.,SQLi,Entertainment,US,4.0 Cloud Security,Data Theft
3/29/2015,Unknown,Unknown,"The pro-Bashar Al Assad hackers from Syrian Electronic Army claim to have hacked popular hosting companies running under the Endurance International Group. The list of hacked hosting companies include BlueHost, FastDomain, Hostgator, HostMonster and JustHost.",Account Hijacking,Airline,FR,25.06 Website Scanning,Customized To Target
3/29/2015,Histeria,Unknown,"The website of Air France's national mutual society (mnpaf.fr) is defaced by a group calling itself Mujahidin Team, in retaliation for the Setif and Guelma massacres happened on May 8, 1945.",Malware,Online Services,HK,11.03 eCommerce Fraud Protection,Business Disruption
3/30/2015,Unknown,Multi,"Histeria hacks lumensfactory.com and dumps 2,550 usernames and clear text passwords. ",Account Hijacking,Web Hosting,Multi,7.01 Antivirus Software,Data Theft
3/30/2015,Unknown,Unknown,"Symantec unveils the details of a new operation against oil and gas companies aiming to get sensitive corporate information. The campaign uses a malware dubbed Trojan.Loziak and targets primarily Middle Eastern countries such as the United Arab Emirates, Kuwait, and Saudi Arabia. But it has also afflicted other nations as well, including the United States, the United Kingdom, and Uganda.",Defacement,Transportaiton,US,5.0 Data Security,Mass Malware
3/30/2015,Team Bad Dream,Unknown,"The Bradley University informs its employees, retirees, and former employees that their identifiable information, including Social Security numbers, might have been compromised as a result of a breach of system data security.",Unknown,E-Commerce,US,25.06 Website Scanning,Customized To Target
3/31/2015,Volatile Cedar,Multi,Saudi hackers from Team Bad Dream deface the official website of  U.S. Army Picatinny Arsenal (pica.army.mil).,Targeted Attack,Oil and Gas,Multi,21.03 Security Information and Event Management (SIEM),Customized To Target
3/31/2015,SkYz0,Unknown,"Researchers from Check Point unveil the details of Volatile Cedar, a campaign originating in Lebabon and targeting individuals, companies and institutions worldwide, leveraging an advanced malware called Explosive.",Malware,Education,Multi,25.04 Web Application Firewall (WAF),Business Disruption
4/1/2015,Unknown,Unknown,"SkYz0 hacks paths-123.com and dumps 7,269 usernames and clear text passwords.",Defacement,Military,IN,11.04 Web Fraud Prevention,Data Theft
4/1/2015,PH1K3,Unknown,"The official website of Office of the Principal Controller of Defence Accounts (Officers) (pcdaopune.gov.in) is  hacked and 50,000 personal details besides login names and passwords may have been compromised. ",Targeted Attack,Multi,SE,13.05 Identity Services,False Claims of Digital Identity
4/2/2015,Unknown,Multi,"PH1K3 hacks domainstream.se and dumps 1,149 records with Personally Identifiable Information",SQLi,Online Services,Multi,2.03 Multi-Factor Authentication,Data Theft
4/2/2015,Unknown,Unknown,"IBM Security identifies an active campaign using a variant of Dyre malware that has successfully stolen more than $1 million from targeted enterprise organizations. The campaign, is named “The Dyre Wolf”.",Unknown,Government,US,17.03 Distributed Denial of Service (DDOS) Security,Customized To Target
4/3/2015,Unknown,Unknown,"Frontpagemag.com, an online magazine, particularly critic against Iran's nuclear politics, is the victim of a DDoS attack allegedly originating from Iran/Iraq.",SQLi,Internet Services,US,13.03 Consumer Identity and Access Management (CIAM),Data Theft
4/3/2015,,Unknown,Biggby Coffee announces that an intruder forced their way into its systems and accessed a database containing personal information.,Targeted Attack,Multi,CN,11.04 Web Fraud Prevention,Customized To Target
4/4/2015,Unknown,Unknown,Anonymous Philippines hack several Chinese Government websites against the alleged increasing aggression of Beijing in the disputed territory of West Philippine Sea,DDoS,News,AU,13.05 Identity Services,Customized To Target
4/4/2015,Unknown,Unknown,"Linux Australia warns its members and conference attendees that their personal information may have fallen into the hands of online criminals, following a breach of the organisation’s servers.",Unknown,Restaurant,US,13.01 Authorization,Data Theft
4/4/2015,Unknown,Unknown,"Unauthorized access to the server of Synergistic Resources Integration (SRI) is discovered, exposing personally identifiable information stored by the company, including social security and tax identification numbers.",Defacement,Government,US,17.09 Secure Remote Access,Data Theft
4/4/2015,K4li,Unknown,"Unknown hackers steal full credit card information for 44 patients, and partial credit card information for nearly 7,000 patients, after gaining access to the Western Montana Clinic.",Unknown,Org: Software,ID,5.06 Database Security,Data Theft
4/5/2015,,Unknown,"A hacker called K4li hacks lp3i.ac.id, an Indonesian College and dumps 1,412 usernames and hashed passwords.",Unknown,Online Service ,Multi,9.04 Law Enforcement Support,Customized To Target
4/5/2015,Cyber Freedom,Unknown,"In name of OpISIS, Ghostsec, a hacker affiliated to the Anonymous, releases a list of websites allegedly supporting the ISIS extremist group. The list also contains names of companies hosting or protecting these sites from DDoS and other cyber attacks.",Unknown,Healthcare,Multi,17.07 Next-Generation Firewalls,Customized To Target
4/5/2015,,Unknown,A group of hackers going with the handle of Indonesian Cyber Freedom defaces a sub-domain of the United Nations website (sgp.undp.org),Unknown,Education,US,17.07 Next-Generation Firewalls,Customized To Target
4/6/2015,,Unknown,4/2o Cell AKA @Puttied hacks a subdomain of wellesley.edu (mobius.wellesley.edu) and claims to have obtained 700 records.,Unknown,Org: Terrorism,IL,13.05 Identity Services,Activist Hacktivist
4/6/2015,,Unknown,"In name of #OpIsrael, Anonymous Arabe dump complete online payment card data of 500 individuals.",Defacement,Org: United Nations,IL,5.06 Database Security,Data Theft
4/6/2015,,Unknown,"Inside the same operation, AnonGhost dumps 53 Israeli Facebook Credentials and about 6,000 Israeli email accounts, all of them with password in clear text. ",SQLi,Education,IL,13.05 Identity Services,Activist Hacktivist
4/6/2015,,Unknown,"And to show the results of their effort, the hacktivists dump a partial list of payment card info and the proof that they have been used to donate the stolen money (around $18,000) to Palestinian Charities.",Unknown,Single Individual,US,17.05 Network Detection and Response (NDR),Business Disruption
4/7/2015,Moroccan Islamic Union-Mail,Unknown,Part of Northwestern University‘s network has been offline for over a week as a result of a hack first disclosed on Twitter by  4/2o Cell AKA @Puttied.,Account Hijacking,Single Individual,UK,25.06 Website Scanning,Customized To Target
4/7/2015,,Unknown,"Islamist hackers of Moroccan Islamic Union-Mail deface uk-air.defra.gov.uk, a website run by the British Government’s Department of Environment, Food & Rural Affairs (DEFRA) and dedicated to monitor the air pollution.",Account Hijacking,Single Individual,IL,25.03 Secure Web Gateway (SWG),Customized To Target
4/8/2015,,Unknown,Other attacks part of #OpIsrael: Anonymous Arabe and AnonGhost deface several private domains and deface several governmental sites.,XSS,Education,US,14.03 Intrusion Detection System (IDS),Data Theft
4/8/2015,,Unknown,"CNN reveals that Russian hackers behind the damaging cyber intrusion of the State Department in November 2014 used that perch to penetrate sensitive parts of the White House computer system, according to U.S. Officials.",Defacement,Government,FR,17.05 Network Detection and Response (NDR),Criminals
4/8/2015,Unknown,Unknown,"TV5Monde, a Multi-station television network headquartered in Paris, France, has 11 of its TV stations taken off the air. In the same time it suffers an internal IT outage alongside a social media and website takeover. A group of Pro-ISIS claims responsibility for the attack.",Defacement/DDoS,Government,US,11.01 Account Take-Over (ATO),Customized To Target
4/9/2015,,Unknown,"Kendall Jenner's Twitter account is hacked, and begins posting some out-of-character messages to her 10.2 million followers.",Targeted Attack,Government,CU,17.07 Next-Generation Firewalls,Business Disruption
4/9/2015,,Unknown,"In name of #PigsInBlankets, Anonymous Cuba hacks several travel agencies all over the worlds, allegedly affiliated with the Castro Regime. The total of dumped records is around 40,000.",Account Hijacking,TV Broadcast,CN,25.06 Website Scanning,Customized To Target
4/9/2015,Scabb,Unknown,AnonymousGlobo defaces several Chinese government websites including the Hunan (a province in China) Police Academy website in solidarity with pro-democracy protesters in Hong Kong.,Account Hijacking,Single Individual,RU,25.04 Web Application Firewall (WAF),Business Disruption
4/10/2015,Unknown,Unknown,"Scabb hacks gorodokboxing.com and dumps 2,731 records with usernames and hashed passwords.",SQLi,Travel,DE,8.04 Database Security,Data Theft
4/10/2015,Unknown,Unknown,Hackers break into the Lufthansa customer database and obtain info on a number of Frequent-Flyers. They also use the miles to obtain vouchers and redeem rewards. ,Defacement,Government,RU,7.01 Antivirus Software,Mass Malware
4/10/2015,,Unknown,"Researchers from ESET identify a malware campaign, dubbed Operation Buhtrap, targeting Russian businesses and banks",SQLi,Hobby (Boxing),IL,5.05 Data Leakage Protection (DLP),Customized To Target
4/10/2015,Abdellah Elmaghribi  Moroccan Wolf,Unknown,"The Anonymous breach into an Israeli gun shop website (lhbltd.com) and leak login credentials plus personal details of its local and international customers, including some government officers.",Brute Force,Airline,TM,25.03 Secure Web Gateway (SWG),Customized To Target
4/10/2015,Unknown,Unknown,The website of Turkmenistan’s embassy in Belarus is taken offline following an apparent hack by two ISIS supporters.,Targeted Attack,Finance,US,17.06 Network Monitoring,Data Theft
4/11/2015,,Unknown,Accounting firm Walters McCann Fanska notifies clients that their personal and financial account information may have been acquired by hackers who had access to the firm’s network,SQLi,E-Commerce,CA,17.03 Distributed Denial of Service (DDOS) Security,Customized To Target
4/11/2015,Kelvin Sec Team,Unknown,The hacker group Anonymous Quebec takes down the Montreal Police department website and the officers’ union against the brutality used during the student demonstrations.,Defacement,Government,VE,17.07 Next-Generation Firewalls,Customized To Target
4/11/2015,./AnonWA,Unknown,"KelvinSecTeam hacks the Universidad Católica Andrés Bello (ucab.edu.ve) and dumps 1,286 records with usernames and hashed passwords.",Unknown,Financial Services,US,25.04 Web Application Firewall (WAF),Business Disruption
4/12/2015,Unknown,Unknown,"A hacker called ./AnonWA hacks latintourdimensions.com and dumps 2,010 usernames and passwords.",DDoS,Law Enforcement,UK,11.03 eCommerce Fraud Protection,Business Disruption
4/12/2015,Unknown,Unknown,"Unknown hackers hack afrostyling.com and dump 3,913 records with usernames and hashed passwords.",SQLi,Education,BE,17.03 Distributed Denial of Service (DDOS) Security,Customized To Target
4/12/2015,Team System DZ,Unknown,"Rossel, a Belgian media group, is the victim of a DDoS attack. One of Belgium's largest French-speaking newspapers, La Soir, along with others sites are affected and temporarily shut down. A new attack is executed the day after.",SQLi,Travel,AU,25.06 Website Scanning,Customized To Target
4/12/2015,Unknown,Unknown,Hobart Airport's website is defaced by Team System DZ with a message supporting radical group Islamic State (IS) over the weekend.,SQLi,E-Commerce,SA,11.01 Account Take-Over (ATO),Customized To Target
4/13/2015,Unknown,Unknown,"Saudi hackers take over the official Twitter account of Iran’s state Television ‘Al-Alam’ (@alalam_news), posting material supportive of the Saudi-led air war against Iran-backed rebels in Yemen.",DDoS,Media,US,5.13 Data Access Control,Customized To Target
4/13/2015,Unknown,Unknown,White Lodging confirms a second security breach of point-of-sale systems at 10 locations.,Defacement,Airport,UK,5.05 Data Leakage Protection (DLP),Customized To Target
4/13/2015,Unknown,Unknown,"Yet another trail of the infamous Fappening affair… This time it’s the turn of Kelly Brook, whose nude photos are leaked by unknown hackers.",Account Hijacking,TV Broadcast,US,13.01 Authorization,Mass Malware
4/13/2015,Unknown,Unknown,"Homebridge notifies an undisclosed number of current and former employees that unauthorized access was gained to human resource records via malware implanted on a limited number of computers, and that the stolen personal information may have been used to file fraudulent tax return forms.",PoS Malware,Resort,SA,25.04 Web Application Firewall (WAF),Business Disruption
4/13/2015,APT30,Multi,"In name of #OpSaudi, the Yemen Cyber Army hacks alhayat.com and dumps 926 records including usernames and hashed passwords.",Unknown,Single Individual,Multi,17.07 Next-Generation Firewalls,Customized To Target
4/14/2015,,Unknown,FireEye reveals the details of a decade-long cyber espionage operation focused on stealing sensitive information for the Chinese government on South-East Asian governments and commercial entities as well as journalists. The state-sponsored actor behind this campaign is called APT30.,Malware,Healthcare,FR,5.03 Data Encryption,Data Theft
4/14/2015,Team System DZ,Unknown,"Another French television targeted by hackers. This time the victim is France Télévisions and the attackers make off with off with data of 19,000 viewer requests to participate in televised games and 108,000 contacts.",SQLi,News,CA,25.06 Website Scanning,Customized To Target
4/14/2015,Ne0-h4ck3r TiGER-M@TE  F0RTYS3V3N,Unknown,Team System DZ defaces the official mobile website (mobile.utoronto.ca) of the University of Toronto ,Targeted Attack,Multi,MY,17.02 Domain Name System (DNS) Security,Customized To Target
4/14/2015,,Unknown,"Three Bangladeshi hackers going with the handles of Ne0-h4ck3r, TiGER-M@TE and F0RTYS3V3N, hijack Google, Google Images, YouTube and Yahoo Malaysia domains.",Unknown,TV Broadcast,VA,17.07 Next-Generation Firewalls,Business Disruption
4/14/2015,Eddie Raymond Tipton,Unknown,A Turkish hacker with the handle @THTHerakles shut down the Vatican City official website (vatican.va) against Pope Francis’ remarks in which he used the word ‘genocide’ to refer to mass killings of Armenians by Turks.,Defacement,Education,US,12.01 Firmware,Personal Risk
4/14/2015,,Unknown,"Eddie Raymond Tipton, the former security boss of the Multi State Lottery Association, is charged with fraud after allegedly hacking with a rootkit the computer that picks the winning numbers. ",DNS Hijacking,Internet Services,TW,22.05 Penetration Testing,Customized To Target
4/15/2015,Hellsing,Naikon,The computer on the desk of Taipei Mayor Ko Wen-je's secretary is hacked. Investigators  trace the perpetrator to China.,Defacement,Religion,Multi,17.07 Next-Generation Firewalls,Customized To Target
7/1/2015,Unknown,The Trump Hotel Collection,"One of the first examples of an APT-on-APT campaign. After being the target of an attack by Naikon, a rival gang the Hellsing group strikes back.",Rootkit,Non-Profit,US,5.13 Data Access Control,Customized To Target
7/1/2015,Unknown,Vehicle Donation Processing Center,"The Trump Hotel Collection, a string of luxury hotel properties tied to business magnate Donald Trump, appears to be the latest victim of a credit card breach.",Targeted Attack,Government,US,13.05 Identity Services,Data Theft
7/1/2015,several major worker's compensation insurers,Confidential legal files,Charitable car donors using the Vehicle Donation Processing Center learn their personal information was hacked,Targeted Attack,APT,US,9.02 Digital Forensics,Business Disruption
7/2/2015,savaka,Plex,"An investigation reveals that several major worker's compensation insurers, hacked into thousands of confidential legal files to save money on judgments and settlements.",PoS Malware,Hospitality,US,5.05 Data Leakage Protection (DLP),Customized To Target
7/2/2015,Monte Melkonian Cyber Army,Several Azerbaijani sites,A hacker called savaka hacks the Plex server hosting the forums and the blog. The attacker asks for a ransom of 9.5 BTC to avoid the leak of the data,Unknown,Charity,AZ,13.05 Identity Services,Data Theft
7/2/2015,Anonymous,Canadian Government Sites,"Armenian hackers from Monte Melkonian Cyber Army hack into the official website of Azerbaijani customs (and other Azerbaijani sites), stealing highly confidential personal information of 5650 Azerbaijani citizens.",Unknown,Single Individuals,CA,17.07 Next-Generation Firewalls,Business Disruption
7/3/2015,AnonOpsIndia,Bharat Sanchar Nigam Limited (BSNL),"In name of #OpBillC51, the Anonymous hacks the Québec Parental Insurance Plan Centre (http://www.rqap.gouv.qc.ca), The Ministry of Labor, Employment and Social Solidarity (http://www.mess.gouv.qc.ca) and The National Review Commission website on employment insurance (http://www.cneae.gouv.qc.ca).",Unknown,Software,IN,8.04 Database Security,Data Theft
7/4/2015,Unknown,New Jersey Online Casinos,"In name of OpIndia, AnonOpsindia, a group affiliated to the Anonymous collective hacks BSNL and claims to have siphoned the entire database, which has sensitive information of over 30 million users.",Unknown,Government,US,17.03 Distributed Denial of Service (DDOS) Security,Customized To Target
7/5/2015,Phineas Fisher,Hacking Team SrL,A hacker shuts down four New Jersey Internet gambling sites and threatens more,Unknown,Government,IT,17.07 Next-Generation Firewalls,Customized To Target
7/5/2015,Hufflepuff,Primedice,cyberattacks over unless a ransom in BTC is paid.,Unknown,Telco,US,19.02 Cryptographic Lifecycle Security,Vulnerability Exploitation
7/6/2015,Unknown,(primedice.com),"Hacking Team, the Italian company behind the infamous surveillance software is hacked. The attacker, allegedly the same author behind the attack to Gamma International (another surveillance software) dumps approximately 400Gb of data.",DDoS,Gambling,IN,17.07 Next-Generation Firewalls,Customized To Target
7/7/2015,Unknown,housing.com,"Primedice, an online gaming/gambling site loses $1 million in bitcoin to an attacker who exploited its random number generation (RNG) system.",Unknown,Software,UK,8.04 Database Security,Data Theft
7/7/2015,DangerPro,Edinburgh CIty Council,"The realty portal housing.com is defaced, a week after his CEO is hacked.",Random Number Generator Vulnerability,Online Gambling,IL,25.03 Secure Web Gateway (SWG),Business Disruption
7/7/2015,Rubber AKA smitt3nz,Pizza Hut Israel,"More than 13,000 email addresses have been stolen from Edinburgh city council's database following a ""malicious cyber attack"".",Defacement,Online Services,Multi,25.04 Web Application Firewall (WAF),Data Theft
7/7/2015,PH1K3 and z0x,(contact.pizzahut.co.il),A group of Bangladeshi hackers going with the handle of DangerPro defaces the contact us page of the official website of Pizza Hut Israel (contact.pizzahut.co.il).,Unknown,Government,SE,25.03 Secure Web Gateway (SWG),Business Disruption
7/8/2015,"Butterfly, Morpho, Wild Neutron, Jripbot",http://iChatLatino.com,"Rubber AKA smitt3nz hacks three dating sites and dumps a total of nearly 100,000 plaintext users and passwords.",Defacement,Restaurant,Multi,14.05 User Behavioral Analytics (UBA),Customized To Target
7/8/2015,Unknown,http://iChatAsia.com,"A couple of hackers dubbed PH1K3 and z0x hack Hemmakvälls.se (a Swedish video store chain) and dump the details of approximately 47,000 users.",SQLi,Dating,US,5.13 Data Access Control,Mass Malware
7/8/2015,The Cyber Army of the Khilafah,http://iChatUSA.com,"Several security companies report that the attackers that targeted Apple, Facebook, Microsoft, and Twitter two years ago in a series of high-profile hacks are back and got bigger. Targets include at least 40 companies in different sectors. The group is known as Butterfly, Morpho, Wild Neutron or Jripbot.",Unknown,Retail,SY,25.03 Secure Web Gateway (SWG),Customized To Target
7/8/2015,Cyber Islamic State,Hemmakväll AB,California-based Evans Hotels announces that malware was installed on computers at the front desks of its properties that could have compromised payment card data.,Multi,Multi,GE,17.07 Next-Generation Firewalls,Customized To Target
7/8/2015,Unknown,http://www.hemmakvall.se,Purported supporters of the hardline Islamic State group deface the website of the Syrian Observatory for Human Rights.,PoS Malware,Hospitality,US,5.13 Data Access Control,Data Theft
7/9/2015,Unknown,Multi,The Cyber Islamic State hackers deface the official website of “The State Ministry for Euro-Atlantic Integration of Georgia” (eu-nato.gov.ge).,Defacement,Human Rights,DE,14.04 Intrusion Prevention System (IPS),Customized To Target
7/9/2015,Cyber Islamic State,Evans Hotels,"Evans Hotels, which owns and operates the Bahia Resort, Catamaran Resort and The Lodge at Torrey Pines  announces that a security breach led to unauthorized charges on guests’ payments cards.",Defacement,Government,US,17.07 Next-Generation Firewalls,Customized To Target
7/9/2015,Unknown,Syrian Observatory for Human Rights,German-owned Patriot missiles stationed in Turkey are briefly taken over by hackers.,PoS Malware,Hospitality,US,5.13 Data Access Control,Data Theft
7/9/2015,Unknown,http://www.syriahr.com,The Cyber Islamic State hackers deface a subdomain of Illinois-based Argonne National Laboratory owned and funded by the U.S. Department of Energy Office of Science.,Unknown,Military,US,11.01 Account Take-Over (ATO),False Claims of Digital Identity
7/10/2015,Unknown,State Ministry for Euro-Atlantic Integration of Georgia,"Service Systems Associates, a company that serves gift shops and eateries at zoos and cultural centers across the United States, acknowledges a breach of its credit and debit card processing systems.",Defacement,Government,DE,17.03 Distributed Denial of Service (DDOS) Security,Vulnerability Exploitation
7/10/2015,Lizard Squad,eu-nato.gov.ge,Unknown hackers hack the Charlotte Mckinney Instagram account and use it to post nude photos of the model.,PoS Malware,Retail,US,17.03 Distributed Denial of Service (DDOS) Security,Customized To Target
7/10/2015,Unknown,Evans Hotels,"Popular messaging platform Telegram is hit with a 200Gbps distributed denial of service (DDoS) attack. Users in Asia, Australia, and Oceania are prevented from using the service.",Account Hijacking,Single Individual,CA,24.05 Third-Party Security,Data Theft
7/10/2015,AlfabetoVirtual,German Missiles,Daybreak Game Company is hit with a DDoS after its CEO threatens convicted Lizard Squad hacker Julius Kivimaki,DDoS,Organization: Software,US,17.07 Next-Generation Firewalls,Customized To Target
7/10/2015,Unknown,Argonne National Laboratory,"Walmart Canada investigates a potential breach of customer credit card data after one of its websites operated by a third party (www.walmartcanadaphotocentre.ca) was compromised. 60,000 customers could be affected.",DDoS,Video Games,US,5.13 Data Access Control,Business Disruption
7/11/2015,Lov3rDns,(www.lcrc.anl.gov),A Pro-Palestinian hacker going with the handle of AlfabetoVirtual defaces the official website of New York City’s Comptroller Mr. Scott M. Stringer (http://comptroller.nyc.gov).,Unknown,Retail,US,25.06 Website Scanning,Customized To Target
